row,guid,expression,reading,status,matched_or_expected_form,detected_surface_form,reason,example_jp,example_reading_hiragana
17,l<k2Hl<qF:,故～,こ～,ambiguous,こ~,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",式には故山田氏の家族も参列した。,しきにはこやまだしのかぞくもさんれつした。
21,dR[Ye:I0gD,～光,～こう,ambiguous,~こう,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",太陽光を利用して電気をつくる。,たいようこうをりようしてでんきをつくる。
97,g2<)LlaRj=,ございます (かん),ございます (かん),ambiguous,ございますかん,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",会議室は三階にございます。,かいぎしつはさんがいにございます。
100,P2WNAwMh[2,漉す·濾す (みずを～),こす (みずを～),ambiguous,こすみずを~,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",布で水を濾して不純物を取り除く。,ぬのでみずをこしてふじゅんぶつをとりのぞく。
108,qPHur}V8b$,こつ (をつかむ),こつ (をつかむ),ambiguous,こつをつかむ,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",練習を重ねて道具を使うこつをつかんだ。,れんしゅうをかさねてどうぐをつかうこつをつかんだ。
131,N1BBvCZ=AZ,ごらんなさい (かん),ごらんなさい (かん),ambiguous,ごらんなさいかん,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",この写真をごらんなさい。,このしゃしんをごらんなさい。
138,DU{l0`Yee%,コンタクト (レンズ),コンタクト (レンズ),ambiguous,こんたくとれんず,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",外出するときはコンタクトを使っている。,がいしゅつするときはこんたくとをつかっている。
176,uh`5:/)TWv,さきに (いぜん),さきに (いぜん),ambiguous,さきにいぜん,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",その件はさきに電話でお伝えしました。,そのけんはさきにでんわでおつたえしました。
188,yQu&Wz5|+#,摩する,さする,target-not-found,さする | さし | さした | さして | さします | さしない | さされ | さされた | ささせ | さすれば | さしよう,,예문에서 표제어 또는 인식 가능한 활용형을 찾지 못함,母は泣く子の背中を優しく摩った。,はははなくこのせなかをやさしくさすった。
189,FE`C@V&t[f,嘸 (さぞや。さぞかし),さぞ (さぞや。さぞかし),ambiguous,さぞさぞやさぞかし,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",長旅でさぞお疲れでしょう。,ながたびでさぞおつかれでしょう。
210,B@RtBWjh/W,攫う∙掠う (こどもを～),さらう (こどもを～),ambiguous,さらうこどもを~,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",犯人は子どもを攫って逃走した。,はんにんはこどもをさらってとうそうした。
249,sw_]y<P?Kn,仕来り・為来り,しきたり,ambiguous,しきたり,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",村の古い仕来りを今も守っている。,むらのふるいしきたりをいまもまもっている。
254,lJNQ&9#g@p,汚らわしい-穢らわしい,けがらわしい,ambiguous,けがらわしい,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",そんな汚らわしい手段は使いたくない。,そんなけがらわしいしゅだんはつかいたくない。
334,hJ#iZ92?#q,刺·棘 (をさす),とげ (をさす),ambiguous,とげをさす,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",バラの棘が指に刺さった。,ばらのとげがゆびにささった。
336,EHH{[82H7I,～どころか,～どころか,ambiguous,~どころか,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",彼は謝るどころか、私を責め始めた。,かれはあやまるどころか、わたしをせめはじめた。
