expression,reading,meaning,tags,guid
合間,あいま,"틈, 사이",JLPT_1 JLPT,kPRprNuR>j
悪癖,あくへき,나쁜 버릇,JLPT_1 JLPT,8ISHh+1=lP
鮮やか,あざやか,선명함,JLPT_1 JLPT,uBWlY5lRqO
値する,あたいする,"~할 만하다, ~(에) 상당하다",JLPT_1 JLPT,a[wZZD5^3r
跡地,あとち,"철거부지, 잔해",JLPT_1 JLPT,",7_Jc|r7UF"
侮る,あなどる,"깔보다, 업신여기다",JLPT_1 JLPT,nd_7HaW#Io
余る,あまる,남다,JLPT_1 JLPT,fmN%BssKDD
危ぶむ,あやぶむ,"의심하다, 걱정하다",JLPT_1 JLPT,._ASzvlGx[
粗い,あらい,"거칠다, 조잡하다",JLPT_1 JLPT,G@ZEWnp#54
争う,あらそう,다투다,JLPT_1 JLPT,$OZ98:afz6
新た,あらた,새로움,JLPT_1 JLPT,zn*{.M5|Qu
淡い,あわい,"(맛, 빛깔) 진하지 않다",JLPT_1 JLPT,99qGPkI*=#
遺憾,いかん,유감,JLPT_1 JLPT,(T=a+]BM7+
意義,いぎ,의의,JLPT_1 JLPT,C[^&3Z2ch#
憤り,いきどおり,분노,JLPT_1 JLPT,l$U{@B=vw<
憩い,いこい,휴식,JLPT_1 JLPT,?jey-pZwoj
潔い,いさぎよい,"떳떳하다, 미련 없이 깨끗하다",JLPT_1 JLPT,"i(It,DybS%"
遺跡,いせき,유적,JLPT_1 JLPT,?FIFf)w<Y=
依然として,いぜんとして,여전히,JLPT_1 JLPT,[Bm.zkJ_A|
至る,いたる,이르다,JLPT_1 JLPT,S.6R}>n*i{
一概に,いちがいに,"일률적으로, 무조건",JLPT_1 JLPT,1jJlad#n7C
偽り,いつわり,거짓,JLPT_1 JLPT,qOma$Zh#%6
挑む,いどむ,도전하다,JLPT_1 JLPT,Dp[)|u%xn-
否めない,いなめない,부정할 수 없다,JLPT_1 JLPT,=+K;m8xe/(
戒める,いましめる,"경고하다, 제지하다",JLPT_1 JLPT,+9t7vbQ5GJ
印象,いんしょう,인상,JLPT_1 JLPT,g[$mbs]^Q{
訴える,うったえる,"호소하다, 소송하다",JLPT_1 JLPT,=)TAN3%JfR
促す,うながす,"재촉하다, 촉구하다",JLPT_1 JLPT,"?NCCb),>Q["
潤う,うるおう,"촉촉해지다, 혜택을 받다",JLPT_1 JLPT,"A2`Dk0,xc@"
潤す,うるおす,"축이다, 적시다, 윤택하게 하다",JLPT_1 JLPT,*qj>Aj/]uQ
栄養,えいよう,영양,JLPT_1 JLPT,b(q86fjJ/j
閲覧,えつらん,열람,JLPT_1 JLPT,`4eF:r2&h9
円滑,えんかつ,원활함,JLPT_1 JLPT,"pDJl@,l%N6"
演奏,えんそう,연주,JLPT_1 JLPT,&6lYRa%DfN
応募,おうぼ,응모,JLPT_1 JLPT,;wf%Cs5*HF
大幅,おおはば,대폭적임,JLPT_1 JLPT,tYbjM+jZ0+
丘,おか,언덕,JLPT_1 JLPT,"o{O,@4Bd&l"
お菓子,おかし,과자,JLPT_1 JLPT,Xj8PXH2V%-
怠る,おこたる,"게을리하다, 방심하다",JLPT_1 JLPT,"jYq,v6!UzP"
惜しむ,おしむ,"아까워하다, 애석해하다",JLPT_1 JLPT,OLuZl]U;($
襲う,おそう,"덮치다, 습격하다",JLPT_1 JLPT,U3TrMxj>-l
穏やか,おだやか,온화함,JLPT_1 JLPT,IA@q!R6GBV
訪れる,おとずれる,방문하다,JLPT_1 JLPT,z{1gD`PEkY
衰える,おとろえる,쇠약해지다,JLPT_1 JLPT,]6)WJ1k7a8
脅かす,おびやかす,위협하다,JLPT_1 JLPT,rO-zDPi*Fg
表向き,おもてむき,표면상,JLPT_1 JLPT,"]0,2q^}r]p"
愚かな,おろかな,어리석은,JLPT_1 JLPT,<O^vrGr$_^
恩恵,おんけい,은혜,JLPT_1 JLPT,HHRV0or2=*
改革,かいかく,개혁,JLPT_1 JLPT,Q!2n:DZ;c#
貝殻,かいがら,조개껍데기,JLPT_1 JLPT,4JuO-U~C2y
海峡,かいきょう,해협,JLPT_1 JLPT,]>=F#iS^qS
回顧,かいこ,회고,JLPT_1 JLPT,n&%?o`dWt@
介護,かいご,간호,JLPT_1 JLPT,.6BM7i1V)!
回収,かいしゅう,회수,JLPT_1 JLPT,"9,QFRnS2}&"
怪獣,かいじゅう,괴수,JLPT_1 JLPT,4hD6%x+z&p
解消,かいしょう,해소,JLPT_1 JLPT,A!;RQhWQw4
改善,かいぜん,개선,JLPT_1 JLPT,SwOe!1e$Hi
開拓,かいたく,개척,JLPT_1 JLPT,-KHn(I5s0P
概略,がいりゃく,"개략, 대략",JLPT_1 JLPT,Z?]VbRbQM.
省みる,かえりみる,"돌이켜보다, 반성하다",JLPT_1 JLPT,l/YYI%R%4<
輝く,かがやく,빛나다,JLPT_1 JLPT,F)yoTPnaU~
垣根,かきね,울타리,JLPT_1 JLPT,67^$dm%%0z
画一的,かくいつてき,획일적,JLPT_1 JLPT,IaVPjO[zDu
架空,かくう,가공,JLPT_1 JLPT,Dm[7+M}[8C
格差,かくさ,격차,JLPT_1 JLPT,#G8t+9j=b4
各種,かくしゅ,각종,JLPT_1 JLPT,#k`QaAs+/N
駆ける,かける,"(전속력으로) 달리다, 뛰다",JLPT_1 JLPT,Q3rRsZ[{#5
火災,かさい,화재,JLPT_1 JLPT,"b,&*oRT|%o"
