expression,reading,meaning,tags,guid,example_jp,example_reading_hiragana,example_ko
合間,あいま,"틈, 사이",JLPT_1 JLPT,kPRprNuR>j,仕事の合間に短い休憩を取った。,しごとのあいまにみじかいきゅうけいをとった。,일하는 틈에 짧은 휴식을 취했다.
悪癖,あくへき,나쁜 버릇,JLPT_1 JLPT,8ISHh+1=lP,爪をかむ悪癖を直したい。,つめをかむあくへきをなおしたい。,손톱을 물어뜯는 나쁜 버릇을 고치고 싶다.
鮮やか,あざやか,선명함,JLPT_1 JLPT,uBWlY5lRqO,夕焼けが鮮やかに空を染めた。,ゆうやけがあざやかにそらをそめた。,저녁놀이 선명하게 하늘을 물들였다.
値する,あたいする,"~할 만하다, ~(에) 상당하다",JLPT_1 JLPT,a[wZZD5^3r,この作品は高く評価するに値する。,このさくひんはたかくひょうかするにあたいする。,이 작품은 높이 평가할 만하다.
跡地,あとち,"철거부지, 잔해",JLPT_1 JLPT,",7_Jc|r7UF",工場の跡地に公園が造られた。,こうじょうのあとちにこうえんがつくられた。,공장 철거 부지에 공원이 조성되었다.
侮る,あなどる,"깔보다, 업신여기다",JLPT_1 JLPT,nd_7HaW#Io,小さな失敗だからと侮ってはいけない。,ちいさなしっぱいだからとあなどってはいけない。,작은 실패라고 얕봐서는 안 된다.
余る,あまる,남다,JLPT_1 JLPT,fmN%BssKDD,料理が余ったので冷蔵庫に入れた。,りょうりがあまったのでれいぞうこにいれた。,음식이 남아서 냉장고에 넣었다.
危ぶむ,あやぶむ,"의심하다, 걱정하다",JLPT_1 JLPT,._ASzvlGx[,専門家は計画の実現性を危ぶんでいる。,せんもんかはけいかくのじつげんせいをあやぶんでいる。,전문가는 계획의 실현 가능성을 걱정하고 있다.
粗い,あらい,"거칠다, 조잡하다",JLPT_1 JLPT,G@ZEWnp#54,この布は表面が少し粗い。,このぬのはひょうめんがすこしあらい。,이 천은 표면이 조금 거칠다.
争う,あらそう,다투다,JLPT_1 JLPT,$OZ98:afz6,兄弟が一つのおもちゃを巡って争った。,きょうだいがひとつのおもちゃをめぐってあらそった。,형제가 장난감 하나를 두고 다투었다.
新た,あらた,새로움,JLPT_1 JLPT,zn*{.M5|Qu,新たな目標に向けて準備を始めた。,あらたなもくひょうにむけてじゅんびをはじめた。,새로운 목표를 향해 준비를 시작했다.
淡い,あわい,"(맛, 빛깔) 진하지 않다",JLPT_1 JLPT,99qGPkI*=#,淡い色のシャツを選んだ。,あわいいろのしゃつをえらんだ。,연한 색 셔츠를 골랐다.
遺憾,いかん,유감,JLPT_1 JLPT,(T=a+]BM7+,ご期待に添えず、誠に遺憾です。,ごきたいにそえず、まことにいかんです。,기대에 부응하지 못해 참으로 유감입니다.
