expression,reading,meaning,tags,guid
愛想,あいそ,붙임성,JLPT_1 JLPT,0aCRM.[A(7
愛着,あいちゃく,애착,JLPT_1 JLPT,f:dMqy2O{&
合間,あいま,"틈, 짬",JLPT_1 JLPT,;`Vu.6+=3:
あえて,あえて,"감히, 굳이",JLPT_1 JLPT,nK$mtf}&Ka
あかす,あかす,"밝히다, 털어놓다",JLPT_1 JLPT,y`2=0~P*ST
あくどい,あくどい,"악랄하다, 악착같다",JLPT_1 JLPT,xyfUf9oID0
足手まとい,あしでまとい,"거치적거림, 짐",JLPT_1 JLPT,%hfs@_%c2D
足止めされる,あしどめされる,발이 묶이다,JLPT_1 JLPT,R.?t8@(^J^
頭打ち,あたまうち,한계점에 이름,JLPT_1 JLPT,wH|C-4]Y?J
あっけない,あっけない,"어이없다, 싱겁다",JLPT_1 JLPT,l.bK*.Qg2m
あっさり,あっさり,"간단히, 깨끗이",JLPT_1 JLPT,<vjh7VuXuf
圧倒,あっとう,압도,JLPT_1 JLPT,}40K6*x[/t
圧迫,あっぱく,압박,JLPT_1 JLPT,"D0V/dbD,{X"
危ぶむ,あやぶむ,"걱정하다, 의심하다",JLPT_1 JLPT,81qqDqTeC`
危ぶまれる,あやぶまれる,의심스럽다,JLPT_1 JLPT,Y.??Bbz+Xu
あやふや,あやふや,"불확실함, 모호함",JLPT_1 JLPT,&KFDuf@7:u
誤る,あやまる,"실수하다, 잘못하다",JLPT_1 JLPT,YaJ<<;Pwz]
あらかじめ,あらかじめ,"미리, 사전에",JLPT_1 JLPT,"z23l,JR7,{"
改める,あらためる,고치다,JLPT_1 JLPT,D-*Vs_XnD2
ありのままに,ありのままに,사실대로,JLPT_1 JLPT,{TIlM?4<xX
安静,あんせい,안정,JLPT_1 JLPT,5n|bj_/&@a
言い張る,いいはる,우기다,JLPT_1 JLPT,{k3Jh;@^c-
生かす,いかす,살리다,JLPT_1 JLPT,R=Y@`.n:cK
いかにも,いかにも,"정말, 매우",JLPT_1 JLPT,"q2]i;,i23C"
異色,いしょく,"이색적임, 색다름",JLPT_1 JLPT,1w%Zxv]%F-
いじる,いじる,만지작거리다,JLPT_1 JLPT,"X),Jl`*3za"
一概に,いちがいに,"일률적으로, 무조건",JLPT_1 JLPT,68]BOjNz8@
一任,いちにん,일임,JLPT_1 JLPT,<s^lzlVi!*
一面,いちめん,① 일면 ② 온통,JLPT_1 JLPT,Pzg+Pve[[Z
一連,いちれん,① 일련 ② 일행,JLPT_1 JLPT,XOo:x4vk{D
一環,いっかん,일환,JLPT_1 JLPT,]k{ygyfFgl
一挙に,いっきょに,"일거에, 단숨에",JLPT_1 JLPT,HVa|0<e!YY
逸材,いつざい,우수한 인재,JLPT_1 JLPT,t5%7~YBo.a
いっそ,いっそ,차라리,JLPT_1 JLPT,(m/SIp+b~S
一掃する,いっそうする,일소하다,JLPT_1 JLPT,AZflOac_Je
逸脱する,いつだつする,벗어나다,JLPT_1 JLPT,&.1_LiJ{Ud
意図,いと,의도,JLPT_1 JLPT,"c5e,T7TQ2s"
いとも,いとも,"매우, 아주",JLPT_1 JLPT,98Z*@Xmv9!
いやらしい,いやらしい,불쾌하다,JLPT_1 JLPT,)oXNGTu+Hx
意欲,いよく,의욕,JLPT_1 JLPT,"OO,h2-F}K("
ウイルス,ウイルス,바이러스,JLPT_1 JLPT,W@kN:8.&P;
ウェイト,ウェイト,"무게, 중점(=ウエート)",JLPT_1 JLPT,[!wVwcO(gy
受け入れる,うけいれる,받아들이다,JLPT_1 JLPT,Bwt`5t&b<k
受ける,うける,받다,JLPT_1 JLPT,3eGo%$}xXp
うすうす,うすうす,"어렴풋이, 짐작으로",JLPT_1 JLPT,>4pq8s5q>#
うずうずしている,うずうずしている,몸이 쑤시다,JLPT_1 JLPT,(*qs;_jiY#
うっかり,うっかり,깜빡,JLPT_1 JLPT,"369AJ,Z6j@"
うっとうしい,うっとうしい,① (기분·날씨) 울적하고 답답하다 ② 귀찮다,JLPT_1 JLPT,UfHyP7LV[:
腕前,うでまえ,"솜씨, 역량",JLPT_1 JLPT,<S)n`:8MjC
うなぎのぼり,うなぎのぼり,빠르게 올라감,JLPT_1 JLPT,$f=YDJy[8M
うぬぼれる,うぬぼれる,자만하다,JLPT_1 JLPT,:J}lM=-Wd!
運用,うんよう,운용,JLPT_1 JLPT,I;MIHB)sH6
閲覧室,えつらんしつ,열람실,JLPT_1 JLPT,KQ.]a3uS%b
エレガント,エレガント,우아함,JLPT_1 JLPT,!%0#Y1`=tx
円滑,えんかつ,원활함,JLPT_1 JLPT,=.*nbJn^k=
円満,えんまん,원만함,JLPT_1 JLPT,c[l[^t2`ao
負う,おう,① 짊어지다 ② 혜택을 입다,JLPT_1 JLPT,5}`3[Amvfr
応急,おうきゅう,응급,JLPT_1 JLPT,mMGYI8$BZK
旺盛,おうせい,왕성,JLPT_1 JLPT,=B}UznXAeC
大筋,おおすじ,"대강, 대략, 요점",JLPT_1 JLPT,SS;54vhvJa
オーバー,オーバー,"초과, 오버",JLPT_1 JLPT,bE8&<Zs?X;
おおかた,おおかた,"거의, 대강",JLPT_1 JLPT,30@A>[_FY}
大げさ,おおげさ,"과장됨, 야단스러움",JLPT_1 JLPT,;Ko$OpQ4c6
