expression,reading,meaning,tags,guid
間柄,あいだがら,관계,JLPT_1 JLPT,-FzL`(WT%F
あざやか,あざやか,선명함,JLPT_1 JLPT,;MR~@Sr1h;
当てはめる,あてはめる,"꼭 들어 맞추다, 적용시키다",JLPT_1 JLPT,F:fy4}]TA5
ありきたりだ,ありきたりだ,"흔하다, 평범하다",JLPT_1 JLPT,"aW~+sUS,F3"
安静,あんせい,(심신) 안정,JLPT_1 JLPT,+p{axO4^v$
案の定,あんのじょう,"예상대로, 아니나다를까",JLPT_1 JLPT,87b+MbpYPp
潔い,いさぎよい,"미련없이 깨끗하다, 떳떳하다",JLPT_1 JLPT,{~aR#l..S/
意地,いじ,고집,JLPT_1 JLPT,`2bM@GP^LH
一律,いちりつ,일률,JLPT_1 JLPT,L0SI+!WHs#
一括,いっかつ,"일괄, 한데 묶음",JLPT_1 JLPT,R|2p+?1Tx&
一見,いっけん,언뜻 보기에,JLPT_1 JLPT,SL_kuD:5uu
今更,いまさら,이제와서,JLPT_1 JLPT,W|3lrQR9dv
いやに,いやに,"이상하게, 묘하게",JLPT_1 JLPT,0:qH.2v4+?
内訳,うちわけ,"내역, 명세",JLPT_1 JLPT,^F`1{zHQiZ
うなだれる,うなだれる,고개를 숙이다,JLPT_1 JLPT,5RX7#fcd%s
裏腹,うらはら,"정반대, 모순이 됨",JLPT_1 JLPT,hp|_s>A9=r
運用,うんよう,운용,JLPT_1 JLPT,TA{E!#c1jC
円滑,えんかつ,원활함,JLPT_1 JLPT,jhVa;})oMJ
押収,おうしゅう,압수,JLPT_1 JLPT,Akb~7n60KL
怠る,おこたる,① 게으름을 피우다 ② 방심하다,JLPT_1 JLPT,eBBr$]FtLq
おごる,おごる,한턱내다,JLPT_1 JLPT,"x?tXiV*,q^"
帯びる,おびる,"(성질, 경향) 띠다",JLPT_1 JLPT,orFy|d|2UW
思い詰める,おもいつめる,골똘히 생각하다,JLPT_1 JLPT,}fq^4Bdu-A
（～は）おろか,（～は）おろか,"(~은) 고사하고, (~은) 물론",JLPT_1 JLPT,v(3*dPFc+C
改修,かいしゅう,"개수, 수리",JLPT_1 JLPT,$*iGuWN[)9
解明,かいめい,"해명, 밝힘",JLPT_1 JLPT,Prtk:7(3u5
解約,かいやく,해약,JLPT_1 JLPT,.5Gj/U%:6%
抱え込む,かかえこむ,① (양팔로) 껴안다 ② 떠맡다,JLPT_1 JLPT,"Eum6h,Y1gp"
加工,かこう,가공,JLPT_1 JLPT,:MUm+ze01t
かさばる,かさばる,부피가 커지다,JLPT_1 JLPT,w/IG9iCa(|
かすれる,かすれる,"(목이) 쉬다, (글씨가) 흐릿하게 써지다",JLPT_1 JLPT,{21ts2UtRj
かたくな,かたくな,"완고함, 막무가내임",JLPT_1 JLPT,"o6ERS$I$@,"
合致,がっち,"합치, 일치",JLPT_1 JLPT,OWk+w4ML~v
かなう,かなう,"희망대로 되다, 이루어지다",JLPT_1 JLPT,aQ;ML2u{=J
かばう,かばう,"(남의 죄, 잘못) 감싸주다",JLPT_1 JLPT,O)dOSR-y|W
過密,かみつ,"과밀(함), 빽빽함",JLPT_1 JLPT,vI?n#&RpFl
加味,かみ,"(맛, 다른 요소) 더함, 가미",JLPT_1 JLPT,jA@~O5@6pI
仮に,かりに,"가령, 임시로",JLPT_1 JLPT,.DyW]&|I0`
完結,かんけつ,완결,JLPT_1 JLPT,C1=##j0PdA
還元,かんげん,환원,JLPT_1 JLPT,lgy{v$x<_@
閑静,かんせい,"조용함, 고요함",JLPT_1 JLPT,"$[g<E,w6^x"
簡素,かんそ,간소,JLPT_1 JLPT,7`CP^E>RPP
かんぺき,かんぺき,완벽함,JLPT_1 JLPT,eEVL3{5<:S
緩和,かんわ,완화,JLPT_1 JLPT,3i#:J+.vJ)
ぎこちない,ぎこちない,"어색하다, 딱딱하다",JLPT_1 JLPT,5~W2JAyy(F
きざ,きざ,"불쾌함, 아니꼬움",JLPT_1 JLPT,aF^{F~S[_0
兆し,きざし,"조짐, 징조",JLPT_1 JLPT,Xx-H+NIB2`
規制,きせい,규제,JLPT_1 JLPT,UFv|H$x[]`
基調,きちょう,"기조, 바탕",JLPT_1 JLPT,J;]%F=QP3~
軌道,きどう,궤도,JLPT_1 JLPT,2Sy{gzGBP;
極端,きょくたん,극단적임,JLPT_1 JLPT,fu=uLW-`xN
拠点,きょてん,거점,JLPT_1 JLPT,n<(m5dCF@G
均等に,きんとうに,균등하게,JLPT_1 JLPT,:r-:9kNDRB
緊密,きんみつ,긴밀함,JLPT_1 JLPT,sYX~f;=rA8
禁物,きんもつ,금물,JLPT_1 JLPT,A30LVlaLA(
食い違う,くいちがう,"어긋나다, 엇갈리다",JLPT_1 JLPT,Ypft!lK>IV
くじける,くじける,(기세가) 꺾이다,JLPT_1 JLPT,@X{|S-[Ru&
口出し,くちだし,말참견,JLPT_1 JLPT,d}%Z$kT^vs
覆す,くつがえす,"뒤집어엎다, 뒤엎다",JLPT_1 JLPT,K$^Of2v|qJ
くまなく,くまなく,"분명히, 뚜렷하게, 빠짐없이",JLPT_1 JLPT,^<;BYfEh-3
工面,くめん,"변통, 주머니 사정",JLPT_1 JLPT,dK4q{R+b8%
経緯,けいい,경위,JLPT_1 JLPT,lgydUUi`!6
軽率,けいそつ,경솔함,JLPT_1 JLPT,Dgq|7O5iHd
欠如,けつじょ,결여,JLPT_1 JLPT,@?(-;*Hp|5
結末,けつまつ,결말,JLPT_1 JLPT,6b8%2Hxv#L
気配,けはい,"낌새, 기색",JLPT_1 JLPT,"*,/ft`QxgT"
交錯,こうさく,"교착, 이리저리 뒤섞임",JLPT_1 JLPT,dXC#I[#R6(
高尚,こうしょう,고상함,JLPT_1 JLPT,^p_^-hUg6N
広大,こうだい,광대함,JLPT_1 JLPT,nYCO>CgW`U
交付,こうふ,교부,JLPT_1 JLPT,9#~lK_^r#l
巧妙,こうみょう,교묘함,JLPT_1 JLPT,"QN,AxOaoh-"
互角,ごかく,"호각, 막상막하",JLPT_1 JLPT,;JE)5:`$2E
心当たり,こころあたり,짐작 가는 곳,JLPT_1 JLPT,Km6}gZ&`0o
心構え,こころがまえ,"마음가짐, 각오",JLPT_1 JLPT,CYhfqBl[-U
コンスタントに,こんすたんとに,꾸준히,JLPT_1 JLPT,K.SNsd?GRJ
細心,さいしん,세심함,JLPT_1 JLPT,RHW@3Xb8US
指図,さしず,"지시, 지휘",JLPT_1 JLPT,AN>f4`Wv6t
察する,さっする,"헤아리다, 살피다",JLPT_1 JLPT,jgIwmTzaUB
作動,さどう,작동,JLPT_1 JLPT,Nwx<<./xk@
しがみつく,しがみつく,매달리다,JLPT_1 JLPT,~Mi6L)pQ/6
資質,ししつ,자질,JLPT_1 JLPT,"FW0E_6,o]%"
失脚する,しっきゃくする,실각하다,JLPT_1 JLPT,>Jyt#QJp=8
質素,しっそ,검소함,JLPT_1 JLPT,SkWNhz0W&/
実に,じつに,실로,JLPT_1 JLPT,rN?7U?0cME
しなやか,しなやか,탄력이 있고 유연함,JLPT_1 JLPT,KF6dOQWRJ$
辞任,じにん,사임,JLPT_1 JLPT,q~j)cnp;^7
しぶとい,しぶとい,"고집이 세다, 완고하다",JLPT_1 JLPT,k<Pg=W-nJ;
遮断する,しゃだんする,차단하다,JLPT_1 JLPT,Ga*E~kJ>)j
終日,しゅうじつ,종일,JLPT_1 JLPT,"srA{,8BJ/L"
執着,しゅうちゃく,집착,JLPT_1 JLPT,vI6y(v2*A^
重複,じゅうふく,중복,JLPT_1 JLPT,p![gg$W+^E
収容する,しゅうようする,수용하다,JLPT_1 JLPT,"=Z%kD6S,14"
出荷,しゅっか,출하,JLPT_1 JLPT,b3>eENi22@
照合,しょうごう,대조,JLPT_1 JLPT,z#zrL2tny)
昇進,しょうしん,승진,JLPT_1 JLPT,LJu7ed`w@0
処置,しょち,"처치, 조치",JLPT_1 JLPT,h4v/k.T+wt
ショック,しょっく,"쇼크, 충격",JLPT_1 JLPT,DPvijcf.pP
退く,しりぞく,"물러나다, 후퇴하다",JLPT_1 JLPT,"|xpj,1g}cY"
仕業,しわざ,"소행, 짓",JLPT_1 JLPT,X|nv0F-@ZE
親善,しんぜん,친선,JLPT_1 JLPT,uGyrS44[-%
素早い,すばやい,재빠르다,JLPT_1 JLPT,.c)~a]q4i=
ずばりと,ずばりと,딱(정곡을 정확히 찌르는 모양),JLPT_1 JLPT,MLwSih)fee
