expression,reading,meaning,tags,similar_guid,guid
あっけない,あっけない,"어이없다, 싱겁다",JLPT_1 JLPT,u<HJP@5KUh,X%Fbr+>%:a
意外につまらない,いがいにつまらない,의외로 재미없다,JLPT_1 JLPT,X%Fbr+>%:a,u<HJP@5KUh
あどけない,あどけない,천진난만한,JLPT_1 JLPT,Y4/TM}Ansg,(?)JPtTe*<
無邪気な,むじゃきな,천진난만한,JLPT_1 JLPT,(?)JPtTe*<,Y4/TM}Ansg
あらかじめ,あらかじめ,미리,JLPT_1 JLPT,qOJz?<D;*&,)1kj$K%whk
事前に,じぜんに,"사전에, 미리",JLPT_1 JLPT,)1kj$K%whk,qOJz?<D;*&
ありありと,ありありと,"뚜렷이, 똑똑히",JLPT_1 JLPT,@hG.aNe6`q,Na*M~Z$1iA
はっきり,はっきり,"분명히, 확실히",JLPT_1 JLPT,Na*M~Z$1iA,@hG.aNe6`q
ありきたりの,ありきたりの,흔한,JLPT_1 JLPT,KFGZ?#_KkQ,xCA7c^R=If
平凡な,へいぼんな,평범한,JLPT_1 JLPT,xCA7c^R=If,KFGZ?#_KkQ
ありふれた,ありふれた,흔해빠진,JLPT_1 JLPT,lEm-$Feik+,{)JX*J{A$5
平凡な,へいぼんな,평범한,JLPT_1 JLPT,{)JX*J{A$5,lEm-$Feik+
安堵した,あんどした,안도했다,JLPT_1 JLPT,^>nTW!hxUd,P)]G$TD$*z
ほっとした,ほっとした,안심했다,JLPT_1 JLPT,P)]G$TD$*z,^>nTW!hxUd
案の定,あんのじょう,아니나다를까,JLPT_1 JLPT,"),>E~:a`-o",7Q9JL8!sM*
やはり,やはり,역시,JLPT_1 JLPT,7Q9JL8!sM*,"),>E~:a`-o"
意気込み,いきごみ,"기세, 패기",JLPT_1 JLPT,*14u;)uEV;,{=vtj7$l<B
意欲,いよく,의욕,JLPT_1 JLPT,{=vtj7$l<B,*14u;)uEV;
委託する,いたくする,위탁하다,JLPT_1 JLPT,gS1vPOJt^d,jy|*v+FfT;
任せる,まかせる,"맡기다, 위임하다",JLPT_1 JLPT,jy|*v+FfT;,gS1vPOJt^d
いたって,いたって,"지극히, 대단히",JLPT_1 JLPT,DPYoO9_@)L,W|>W.g+F4[
非常に,ひじょうに,매우,JLPT_1 JLPT,W|>W.g+F4[,DPYoO9_@)L
糸口,いとぐち,"실마리, 단서",JLPT_1 JLPT,&cu#5uS.yV,/ZotkNy4g^
ヒント,ひんと,힌트,JLPT_1 JLPT,/ZotkNy4g^,&cu#5uS.yV
嫌味,いやみ,불쾌감을 주는 말이나 행동,JLPT_1 JLPT,UD0(JNRjd>,w1~Ah4jK2C
皮肉,ひにく,"비꼼, 야유",JLPT_1 JLPT,w1~Ah4jK2C,UD0(JNRjd>
請け負う,うけおう,맡다,JLPT_1 JLPT,"#YU6,SZBSy","8vst,>08$t"
引き受ける,ひきうける,"맡다, 떠맡다",JLPT_1 JLPT,"8vst,>08$t","#YU6,SZBSy"
うすうす,うすうす,어렴풋이,JLPT_1 JLPT,ROexT:^7js,V7Zpnq*xY[
なんとなく,なんとなく,왠지 모르게,JLPT_1 JLPT,V7Zpnq*xY[,ROexT:^7js
打ち込んでいる,うちこんでいる,몰두하고 있다,JLPT_1 JLPT,7drPo:LyR>,1unOs::)CT
熱心に取り組んでいる・熱中する,ねっしんにとりくんでいる・ねっちゅうする,"열심히 몰두하고 있다, 열중하다",JLPT_1 JLPT,1unOs::)CT,7drPo:LyR>
うなだれる,うなだれる,고개를 떨구다(숙이다),JLPT_1 JLPT,I::$83?Lt1,OVT>_`X2E6
下を向く,したをむく,"아래를 향하다, 머리를 숙이다",JLPT_1 JLPT,OVT>_`X2E6,I::$83?Lt1
うやむやに,うやむやに,흐지부지,JLPT_1 JLPT,zys1!9b~OF,",K`=K-g5w#"
あいまいに,あいまいに,"애매하게, 두루뭉술하게",JLPT_1 JLPT,",K`=K-g5w#",zys1!9b~OF
裏付け,うらづけ,뒷받침,JLPT_1 JLPT,;k6X|P>r4`,)Z.0.h.9U}
証拠,しょうこ,증거,JLPT_1 JLPT,)Z.0.h.9U},;k6X|P>r4`
うろたえずに,うろたえずに,당황하지 않고,JLPT_1 JLPT,Rc^(:@BOap,_/;y((.{[$
慌てずに,あわてずに,허둥대지 않고,JLPT_1 JLPT,_/;y((.{[$,Rc^(:@BOap
エキスパート,えきすぱーと,"엑스퍼트, 전문가",JLPT_1 JLPT,OSj>!odpPg,j=/`lm]{_1
専門家,せんもんか,전문가,JLPT_1 JLPT,j=/`lm]{_1,OSj>!odpPg
エレガントな,えれがんとな,우아한,JLPT_1 JLPT,k_E{)E@Q9l,1PB&M#8iN^
上品な,じょうひんな,고상한,JLPT_1 JLPT,1PB&M#8iN^,k_E{)E@Q9l
おおむね,おおむね,"대체로, 대강",JLPT_1 JLPT,c~&(OIk[bz,DP*77@-7an
だいたい,だいたい,대개,JLPT_1 JLPT,DP*77@-7an,c~&(OIk[bz
おっくうだ,おっくうだ,"귀찮다, 번거롭다",JLPT_1 JLPT,0wJ1Onu}sF,",[`@~{AR#e"
面倒だ,めんどうだ,귀찮다,JLPT_1 JLPT,",[`@~{AR#e",0wJ1Onu}sF
お手上げだ,おてあげだ,속수무책이다,JLPT_1 JLPT,Ppn(98e!n1,:d?BE1F=l6
どうしようもない,どうしようもない,어쩔 도리가 없다,JLPT_1 JLPT,:d?BE1F=l6,Ppn(98e!n1
自ずと,おのずと,자연스레,JLPT_1 JLPT,9#x-)JFFZM,"zoc,mI<|<L"
自然に,しぜんに,자연스럽게,JLPT_1 JLPT,"zoc,mI<|<L",9#x-)JFFZM
おびえて,おびえて,무서워서,JLPT_1 JLPT,<d%IZZ%/#/,&}Q?tS83-:
怖がって,こわがって,무서워서,JLPT_1 JLPT,&}Q?tS83-:,<d%IZZ%/#/
おろそかになる,おろそかになる,소홀해지다,JLPT_1 JLPT,]<sh/`[tQ*,P<4~&U`*(D
いいかげんになる,いいかげんになる,어영부영해지다,JLPT_1 JLPT,P<4~&U`*(D,]<sh/`[tQ*
