expression,reading,meaning,tags,guid,example_jp,example_reading_hiragana,example_ko
現像,げんぞう,필름 현상,JLPT_1 JLPT,v9bha+<cj},フィルムを暗室で現像した。,ふぃるむをあんしつでげんぞうした。,필름을 암실에서 현상했다.
原則,げんそく,원칙,JLPT_1 JLPT,dVC[`t${#`,申請は原則として本人が行ってください。,しんせいはげんそくとしてほんにんがおこなってください。,신청은 원칙적으로 본인이 해 주세요.
見地,けんち,견지·관점,JLPT_1 JLPT,wk)a!>hpi:,長期的な見地から計画を見直す必要がある。,ちょうきてきなけんちからけいかくをみなおすひつようがある。,장기적인 관점에서 계획을 재검토할 필요가 있다.
現地,げんち,현지·실제 장소,JLPT_1 JLPT,G$>SwAUY5:,担当者が現地で被害の状況を確認した。,たんとうしゃがげんちでひがいのじょうきょうをかくにんした。,담당자가 현지에서 피해 상황을 확인했다.
限定,げんてい,한정·제한,JLPT_1 JLPT,o%F/8(![P3,この商品は一日百個限定で販売する。,このしょうひんはいちにちひゃっこげんていではんばいする。,이 상품은 하루 백 개 한정으로 판매한다.
原点,げんてん,원점·기점,JLPT_1 JLPT,bXdt~Sz`DP,迷ったときは原点に戻って考えよう。,まよったときはげんてんにもどってかんがえよう。,망설여질 때는 원점으로 돌아가 생각해 보자.
原典,げんてん,원전·출처,JLPT_1 JLPT,EB`MVeV|+3,引用部分を原典と照らし合わせた。,いんようぶぶんをげんてんとてらしあわせた。,인용 부분을 원전과 대조했다.
原爆,げんばく,원자 폭탄 (원폭),JLPT_1 JLPT,qVu!~xa[nC,広島に投下された原爆について学んだ。,ひろしまにとうかされたげんばくについてまなんだ。,히로시마에 투하된 원폭에 대해 배웠다.
原文,げんぶん,원문,JLPT_1 JLPT,w>egRzs&//,翻訳だけでなく原文も確認してください。,ほんやくだけでなくげんぶんもかくにんしてください。,번역뿐만 아니라 원문도 확인해 주세요.
厳密,げんみつ,엄밀함·정밀함,JLPT_1 JLPT,k<}V}HBo:Y,二つの言葉は厳密には意味が異なる。,ふたつのことばはげんみつにはいみがことなる。,두 단어는 엄밀히 말하면 의미가 다르다.
