expression,reading,meaning,tags,guid
ペア,ペア,페어·짝,JLPT_1 JLPT,k=Nb=9qw5N
兵器,へいき,병기·무기,JLPT_1 JLPT,wAUL<0|lY_
閉口,へいこう,말문이 막힘·항복함,JLPT_1 JLPT,g74gm$0hDG
閉鎖,へいさ,폐쇄,JLPT_1 JLPT,m*Y:Rj#(nz
兵士,へいし,병사·군인,JLPT_1 JLPT,B3%=Tm.br`
平常,へいじょう,평상시,JLPT_1 JLPT,i$h--6kH#|
平方,へいほう,평방·제곱,JLPT_1 JLPT,pZOmk8w#A@
並列,へいれつ,병렬,JLPT_1 JLPT,QDMVtj-X)]
ベース,ベース,베이스·기초,JLPT_1 JLPT,m~Et>&CToA
辟易,へきえき,질림·주눅이 듦,JLPT_1 JLPT,wo~f0ok]vp
ぺこぺこ,ぺこぺこ,배가 몹시 고픈 모양·굽실굽실,JLPT_1 JLPT,F.Cz<ZL1y8
ベスト,ベスト,베스트·최선,JLPT_1 JLPT,kVQ_O=hpyu
ベストセラー,ベストセラー,베스트셀러,JLPT_1 JLPT,"k[DIJ,exg`"
隔たる,へだたる,거리가 떨어지다,JLPT_1 JLPT,b4BPS$[Q>/
縁,へ리,가장자리·테두리,JLPT_1 JLPT,g}BbfTHa#|
へりくだる,へりくだる,자신을 낮추다·겸손하게 굴다,JLPT_1 JLPT,fb3Sk}Zmt.
弁解,べんかい,변명,JLPT_1 JLPT,Eu*5BbIK^d
変革,へんかく,변혁,JLPT_1 JLPT,JH(PT>%qS{
返還,へんかん,반환,JLPT_1 JLPT,F`|5A?wBp8
便宜,べんぎ,편의,JLPT_1 JLPT,uw9O+5v>m#
偏見,へんけん,편견,JLPT_1 JLPT,H5~Io~/)~0
弁護,べんご,변호,JLPT_1 JLPT,rHoP07l#m/
返済,へんさい,변제·상환,JLPT_1 JLPT,G.5i-maV%u
弁償,べんしょう,변상,JLPT_1 JLPT,H^-g_F:FjG
変遷,へんせん,변천,JLPT_1 JLPT,qt*X5m;y07
返答,へんとう,답변,JLPT_1 JLPT,A+kZ]*6U1q
変動,へんどう,변동,JLPT_1 JLPT,"giBey3?e,4"
弁論,べんろん,변론,JLPT_1 JLPT,A=n2+Ps#LJ
穂,ほ,이삭,JLPT_1 JLPT,c0##(*ojkQ
保育,ほいく,보육,JLPT_1 JLPT,i3iCkIhG8y
ボイコット,ボイコット,보이콧·불매운동,JLPT_1 JLPT,mR[e%~Ga7o
ポイント,ポイント,포인트·점수,JLPT_1 JLPT,J#f7z)[.2}
法案,ほうあん,법안,JLPT_1 JLPT,G67]H`pE*(
防衛,ぼうえい,방위,JLPT_1 JLPT,D~[_4zhU{o
防火,ぼうか,방화,JLPT_1 JLPT,nk53s<H-ud
崩壊,ほうかい,붕괴,JLPT_1 JLPT,"jGI8,H>%=u"
妨害,ぼうがい,방해,JLPT_1 JLPT,k0?pSKRG!b
法学,ほうがく,법학,JLPT_1 JLPT,Mp|Wasr2Aa
封建,ほうけん,봉건,JLPT_1 JLPT,I3}@<tlawU
豊作,ほうさく,풍작,JLPT_1 JLPT,DcQa/!NBRf
方策,ほうさく,방책,JLPT_1 JLPT,jAYb5%jhb
奉仕,ほうし,봉사,JLPT_1 JLPT,jl!5Ew9{A&
方式,ほうしき,방식,JLPT_1 JLPT,JK5hiz`$ai
放射,ほうしゃ,방사,JLPT_1 JLPT,s&NZ<R!wMX
放射能,ほうしゃのう,방사능,JLPT_1 JLPT,gGVwqx%~R]
報酬,ほうしゅう,보수,JLPT_1 JLPT,f3~#Hf{b;R
放出,ほうしゅつ,방출,JLPT_1 JLPT,sh*BL^`)[I
報じる,ほうじる,보도하다·알리다,JLPT_1 JLPT,JFEJ]`)bZ8
報ずる,ほうずる,보도하다·알리다,JLPT_1 JLPT,"KRvk3^-|,F"
紡績,ぼうせき,방적,JLPT_1 JLPT,c(WbBZ;AX4
呆然,ぼうぜん,망연자실함,JLPT_1 JLPT,"D,29%Cq6kO"
放置,ほうち,방치,JLPT_1 JLPT,v(CYy#&;?A
膨張,ぼうちょう,팽창,JLPT_1 JLPT,yrEhMT2lD[
法廷,ほうてい,법정,JLPT_1 JLPT,DT=sfW*:r&
報道,ほうどう,보도,JLPT_1 JLPT,c6C5#ID_tl
冒頭,ぼうとう,모두·서두,JLPT_1 JLPT,j#7sz+T+0t
暴動,ぼうどう,폭동,JLPT_1 JLPT,z>Vj=5Gt8G
