expression,reading,meaning,tags,guid
現像,げんぞう,필름 현상,JLPT_1 JLPT,v9bha+<cj}
原則,げんそく,원칙,JLPT_1 JLPT,dVC[`t${#`
見地,けんち,견지·관점,JLPT_1 JLPT,wk)a!>hpi:
現地,げんち,현지·실제 장소,JLPT_1 JLPT,G$>SwAUY5:
限定,げんてい,한정·제한,JLPT_1 JLPT,o%F/8(![P3
原点,げんてん,원점·기점,JLPT_1 JLPT,bXdt~Sz`DP
原典,げんてん,원전·출처,JLPT_1 JLPT,EB`MVeV|+3
原爆,げんばく,원자 폭탄 (원폭),JLPT_1 JLPT,qVu!~xa[nC
原文,げんぶん,원문,JLPT_1 JLPT,w>egRzs&//
厳密,げんみつ,엄밀함·정밀함,JLPT_1 JLPT,k<}V}HBo:Y
賢明,けんめい,현명함·지혜,JLPT_1 JLPT,rF6VPIq@Kt
倹約,けんやく,검약·절약,JLPT_1 JLPT,G)qGN7wCPF
原油,げんゆ,원유,JLPT_1 JLPT,mqzQ4phBV%
兼用,けん용,겸용,JLPT_1 JLPT,Q[mY;6;Blm
権力,けんりょく,권력·권세,JLPT_1 JLPT,zLBVbQJht)
言論,げんろん,언론,JLPT_1 JLPT,j=]X!_Sn:<
故～,こ～,고(故)~,JLPT_1 JLPT,l<k2Hl<qF:
語彙,ごい,어휘·단어장,JLPT_1 JLPT,dg-x#L-S>s
恋する,こいする,사랑에 빠지다·사랑하다,JLPT_1 JLPT,x>yH@(e$>B
甲,こう,갑(첫 번째)·껍데기,JLPT_1 JLPT,gr(P$T&hE)
～光,～こう,빛,JLPT_1 JLPT,dR[Ye:I0gD
好意,こうい,호의·친절,JLPT_1 JLPT,f{|~G`MfSc
行為,こうい,행위·행동,JLPT_1 JLPT,"x,?`vew_Y^"
合의,ごうい,합의·동의,JLPT_1 JLPT,u5DPHkD^67
工学,こうがく,공학,JLPT_1 JLPT,nLBSX>%S~{
抗議,こうぎ,항의,JLPT_1 JLPT,N%yl^:99*x
合議,ごうぎ,합의·회의,JLPT_1 JLPT,g]f7CW]TnO
皇居,こうきょ,고쿄 (황거),JLPT_1 JLPT,s3?rVk?BGD
好況,こうきょう,호황,JLPT_1 JLPT,w5c/V*0:/6
鉱業,こうぎょう,광업,JLPT_1 JLPT,w)+*p6qI~s
興業,こうぎょう,흥업·사업을 일으킴,JLPT_1 JLPT,qy~me*:#E{
高原,こうげん,고원,JLPT_1 JLPT,GF2Ak`BNv1
交互,こうご,상호의·교대로 하는,JLPT_1 JLPT,i<WWSGhMtl
煌々と,こうこうと,휘황찬란하게·밝게,JLPT_1 JLPT,wYY;?*yl=I
考古学,こうこがく,고고학,JLPT_1 JLPT,CYD1fRQ8EC
工作,こうさく,공작·수공예,JLPT_1 JLPT,wzz*)FRo9<
耕作,こう사く,경작·재배,JLPT_1 JLPT,hB|/|8Uy}2
鉱山,こうざん,광산,JLPT_1 JLPT,"KT!enF:=,%"
講習,こうしゅう,강습·훈련,JLPT_1 JLPT,g(z7%o&?^
口述,こうじゅつ,구술·구두 진술,JLPT_1 JLPT,C~8oU(cK0?
控除,こうじょ,공제·보조금,JLPT_1 JLPT,s2uW?Na1t%
交渉,こうしょう,교섭·협상,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,uv@U[?I@AF
高尚,こうしょう,고상한·품격 있는,JLPT_1 JLPT,Ndw<}.:V2o
向上,こうじょう,향상·발전,JLPT_1 JLPT,Qcz@t2UD0)
行進,こうしん,행진·퍼레이드,JLPT_1 JLPT,A=w}ZE@917
香辛料,こうしんりょう,향신료,JLPT_1 JLPT,ce!{r.1}~3
降水,こうすい,강수·강수량,JLPT_1 JLPT,"pb1#Y263n,"
洪水,こうずい,홍수,JLPT_1 JLPT,wakC-uKaq}
合成,ごうせい,합성의·혼합된,JLPT_1 JLPT,c^4E@A0[92
公然,こうぜん,공공연하게·공개적으로,JLPT_1 JLPT,M(>QOkIhfA
抗争,こうそう,항쟁·분쟁,JLPT_1 JLPT,Ayw{S[ULVi
構想,こうそう,구상·계획,JLPT_1 JLPT,HJ3]TaFI5x
後退,こうたい,후퇴·퇴각,JLPT_1 JLPT,Hg(g(Ch73j
光沢,こうたく,광택·윤기,JLPT_1 JLPT,sz+BIfx<J$
公団,こうだん,공단·공공 단체,JLPT_1 JLPT,C&5}~^z)ts
好調,こうちょう,호조·순조로움,JLPT_1 JLPT,fn+k2uN^.*
口頭,こうとう,구두의·말로 하는,JLPT_1 JLPT,mWZ1nL&l+A
講読,こうどく,강독·읽기,JLPT_1 JLPT,"cbt]L<,==)"
購読,こうどく,구독,JLPT_1 JLPT,BPBnR~`=Cm
購入,こうにゅう,구입·구매,JLPT_1 JLPT,mN.]${Ep@o
公認,こうにん,공인·공식 승인,JLPT_1 JLPT,f=;(Z+KSn*
光熱費,こうねつひ,광열비,JLPT_1 JLPT,CBInEbAiwn
購買,こうばい,구매·구입,JLPT_1 JLPT,m|%voYE^yW
好評,こうひょう,호평,JLPT_1 JLPT,PN?X>r5#3$
交付,こうふ,교부·발급,JLPT_1 JLPT,iWHq@iV7/S
公募,こうぼ,공모,JLPT_1 JLPT,zuO/%#|pw9
巧妙,こうみょう,교묘한·영리한,JLPT_1 JLPT,K0cz7g4lOn
公용,こうよう,공용,JLPT_1 JLPT,E{n/tl9=Ih
小売,こうり,소매,JLPT_1 JLPT,c_Z6-bZ>!E
効率,こうりつ,효율,JLPT_1 JLPT,zkc6-]4~)6
公立,こうりつ,공립,JLPT_1 JLPT,FUSldz(S$f
護衛,ごえい,호위·호송,JLPT_1 JLPT,Bs7a.5p1{r
コーナー,コーナー,코너·모퉁이,JLPT_1 JLPT,n/T(.dj~.j
小柄,こがら,작은 체구·작은 무늬,JLPT_1 JLPT,p|m2.?zBm2
小切手,こぎって,수표,JLPT_1 JLPT,vh>Pgi:y!n
国産,こくさん,국산,JLPT_1 JLPT,NVGuI`wyWr
国定,こくてい,국정·국가 지정,JLPT_1 JLPT,K:.NA{MA#
告白,こくはく,고백,JLPT_1 JLPT,D/-Yon@zj7
国防,こくぼう,국방,JLPT_1 JLPT,gB_-ioo>5E
国有,こくゆう,국유,JLPT_1 JLPT,qhprC(Et1a
極楽,ごくらく,극락·낙원,JLPT_1 JLPT,MY-u/w:|X`
国連,こくれん,유엔·국제 연합,JLPT_1 JLPT,PWdSCAXCS{
焦げ茶,こげちゃ,짙은 갈색·고동색,JLPT_1 JLPT,z#D(l+D|+d
語源,ごげん,어원,JLPT_1 JLPT,"wW7;mB,H-n"
心地,ここち,기분·마음씨,JLPT_1 JLPT,HRZ-ZZ((63
心得,こころえ,소양·지식,JLPT_1 JLPT,r]B:&#9/Oj
心掛け,こころがけ,마음가짐·각오,JLPT_1 JLPT,v|gKw*kSA<
心掛ける,こころがける,유심하다·마음먹다,JLPT_1 JLPT,xF|-#cu_O[
志,こころざし,뜻·뜻함,JLPT_1 JLPT,J^EH*N|S>D
志す,こころざす,뜻을 두다·목표로 하다,JLPT_1 JLPT,zc/071N?*?
心強い,こころづよい,든든한·마음 든든한,JLPT_1 JLPT,K>pZg]2z_[
心細い,こころぼそい,불안한·낙담한,JLPT_1 JLPT,ve[sU52iIO
試み,こころみ,시도·시련,JLPT_1 JLPT,LnQ-7#~J-i
試みる,こころみる,시도하다·시험해 보다,JLPT_1 JLPT,qG!ugw]O{9
快い,こころよい,기분 좋은·쾌적한,JLPT_1 JLPT,eXTY5f2Ubn
誤差,ごさ,오차,JLPT_1 JLPT,bE*}iimu/k
ございます,ございます,있습니다·계십니다,JLPT_1 JLPT,g2<)LlaRj=
孤児,こじ,고아,JLPT_1 JLPT,Nru>c@<pc2
こじれる,こじれる,꼬이다·악화되다,JLPT_1 JLPT,jQE(/ITykr
こす,こす,거르다·여과하다,JLPT_1 JLPT,P2WNAwMh[2
